"ESTUDIO";"ENTREV";"REGISTRO";"CUES";"TIPO_TEL";"CCAA";"PROV";"MUN";"TAMUNI";"CAPITAL";"SEXO";"EDAD";"NACIONALIDAD";"ADQUINAC";"PAISNAC";"PAISNAC2";"P4";"P5";"P6";"P7_1";"P7_2";"P7_3";"P7_4";"P7_5";"P7_6";"P7_7";"P7_8";"P7_9";"P7_10";"P7_11";"P7_12";"P8";"ECOPER";"ECOESP";"PESPANNA1";"PESPANNA2";"PESPANNA3";"PPERSONAL1";"PPERSONAL2";"PPERSONAL3";"PREFPTE";"PROBVOTO";"INTENCIONG";"INTENCIONGALTER";"SIMPATIA";"ESCIDEOL";"LIDERESCONOCE_1";"LIDERESCONOCE_2";"LIDERESCONOCE_3";"LIDERESCONOCE_4";"VALORALIDERES_1";"VALORALIDERES_2";"VALORALIDERES_3";"VALORALIDERES_4";"CONOMINIS_1";"CONOMINIS_2";"CONOMINIS_3";"CONOMINIS_4";"CONOMINIS_5";"CONOMINIS_6";"CONOMINIS_7";"CONOMINIS_8";"CONOMINIS_9";"CONOMINIS_10";"CONOMINIS_11";"CONOMINIS_12";"CONOMINIS_13";"CONOMINIS_14";"CONOMINIS_15";"CONOMINIS_16";"CONOMINIS_17";"CONOMINIS_18";"CONOMINIS_19";"CONOMINIS_20";"CONOMINIS_21";"CONOMINIS_22";"VALMINIS_1";"VALMINIS_2";"VALMINIS_3";"VALMINIS_4";"VALMINIS_5";"VALMINIS_6";"VALMINIS_7";"VALMINIS_8";"VALMINIS_9";"VALMINIS_10";"VALMINIS_11";"VALMINIS_12";"VALMINIS_13";"VALMINIS_14";"VALMINIS_15";"VALMINIS_16";"VALMINIS_17";"VALMINIS_18";"VALMINIS_19";"VALMINIS_20";"VALMINIS_21";"VALMINIS_22";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"SINCERIDAD";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS0";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_26";"IA_C2B_27";"IA_C2B_28";"IA_C2B_29";"IA_C2B_30";"IA_C2B_31";"IA_C2B_32";"IA_C2B_33";"IA_C2B_34";"IA_C2B_35";"IA_C2B_36";"IA_C2B_37";"IA_C2B_38";"IA_C2B_39";"IA_C2B_40";"IA_C2B_41";"IA_C2B_42";"IA_C2B_43";"IA_C2B_44";"IA_C2B_45";"IA_C3";"IA_C4";"INTENCIONGR";"INTENCIONGALTERR";"VOTOSIMG";"RECUVOTOGR";"RECUERDO";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOCCAA"
3492;0;46645;1719;2;1;11;0;4;3;1;32;1;1;1;0;4;4;4;2;2;1;2;1;1;1;2;1;1;1;2;1;5;5;11;58;999;1;6;16;97;0;9977;0;9997;5;1;1;1;1;1;1;1;1;7;7;7;1;7;7;1;7;1;7;7;1;7;7;7;7;7;1;7;7;7;7;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;9999;9997;3;7;9;0;2;4;0;0;6;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;-4;"";"";3;1;25;5;25;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9977;0;9977;9999;9999;5;16;5;0,53865;0,8937
3492;0;57386;2066;2;1;11;0;4;3;1;76;1;1;1;0;1;1;1;2;2;2;1;2;1;1;2;1;1;2;2;3;2;3;50;20;7;50;22;999;1;10;21;9998;0;1;1;1;1;1;10;1;10;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;7;1;1;7;1;1;6;4;4;6;8;6;8;7;5;0;5;6;4;4;5;1;0;3;3;0;5;7;1;21;21;3;4;6;0;1;2;0;0;1;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;18;1;-4;"";"";3;1;25;5;22;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;21;9998;21;21;21;3;12;2;1,84796;0,91246
3492;0;186938;3846;2;1;11;0;4;3;1;74;1;1;1;0;4;3;2;1;2;2;1;1;1;1;1;1;2;1;1;3;3;5;8;13;6;6;8;7;97;10;2;8996;0;7;1;1;1;1;1;5;1;1;7;1;1;1;7;1;1;7;1;7;1;1;7;1;1;1;7;1;7;7;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;0;2;0;0;1;1;1;2;2;3;4;2;1;1;2;0;0;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;-4;"";"";9;1;25;4;13;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;8996;2;2;2;3;12;4;3,25935;0,85281
3492;0;38421;1405;2;1;11;0;3;3;1;29;1;1;1;0;4;4;4;1;2;2;1;1;1;2;1;1;1;2;1;3;4;4;51;8;9;9;8;1;97;7;9998;0;1;4;1;1;1;1;6;5;5;3;7;1;7;7;7;7;1;7;1;7;1;1;7;7;7;1;1;7;7;7;7;7;0;5;0;0;0;0;6;0;4;0;5;4;0;0;0;5;5;0;0;0;0;0;1;1;9998;3;6;6;0;1;1;1;5;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;-4;"";"";3;1;25;5;14;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9998;0;1;1;1;4;5;3;2,24764;0,92552
3492;0;85111;2834;1;1;11;0;3;3;1;73;1;1;1;0;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;6;7;15;65;1;996;97;5;9997;0;8;1;1;1;1;1;10;1;8;1;7;1;7;1;1;1;1;1;1;7;1;1;1;1;1;7;7;1;1;7;1;1;0;7;0;7;8;8;8;7;7;0;8;8;7;7;8;0;0;7;6;0;7;9;1;21;21;3;6;6;0;2;2;0;0;2;96;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;"";"";4;1;25;6;21;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9997;0;8;21;21;4;12;6;0,60239;0,88317
3492;0;13072;490;1;1;11;0;3;3;2;72;1;1;1;0;1;2;1;1;2;1;1;2;1;1;2;2;2;1;2;2;2;2;13;7;998;13;20;998;97;0;8996;0;9997;3;1;1;1;1;3;3;5;1;7;1;1;1;7;7;1;1;1;1;1;1;7;1;1;1;7;1;1;7;7;1;0;4;5;5;0;0;7;98;3;4;2;7;0;4;3;98;0;7;7;0;0;5;1;1;1;3;6;4;0;3;2;0;0;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;10;0;-4;"";"";2;1;25;4;19;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;8996;0;8996;1;1;4;12;2;0,63018;0,91147
3492;0;74836;2569;2;1;11;0;3;3;2;65;1;1;1;0;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;3;1;2;7;25;20;6;25;3;96;10;9998;0;9999;6;1;1;1;1;4;3;3;1;1;7;1;1;7;7;1;7;1;7;1;1;7;1;1;7;7;1;7;7;7;7;5;0;1;5;0;0;3;0;7;0;5;8;0;5;6;0;0;8;0;0;0;0;1;1;1;3;13;2;1;1;2;0;0;2;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;18;0;0;0;0;34;1;-4;"";"";4;1;25;6;16;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9998;0;9999;1;1;6;12;1;0,3145;0,91147
3492;0;190473;3955;2;1;11;0;3;3;1;64;1;1;1;0;1;1;1;1;2;2;1;2;1;2;2;1;2;1;2;2;2;2;51;998;999;997;999;999;4;10;1;9993;0;5;1;1;1;1;5;1;8;1;7;1;1;1;7;7;1;1;1;7;1;1;1;1;1;7;7;1;1;7;1;1;0;7;6;8;0;0;9;7;5;0;8;8;6;9;8;0;0;8;6;0;5;4;1;1;1;3;4;2;1;1;1;1;7;5;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;-4;"";"";9;1;25;4;14;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;9993;1;1;1;3;7;4;2,11309;0,84891
3492;0;46599;1716;2;1;11;0;3;3;2;53;1;1;1;0;1;2;2;2;2;2;1;1;1;2;1;1;1;1;2;2;2;5;8;51;998;9;8;6;1;6;1;6;0;4;1;1;1;1;8;3;4;1;7;7;1;1;7;7;1;7;1;7;7;1;7;1;7;7;7;1;7;7;7;7;0;0;6;6;0;0;7;0;7;0;0;6;0;5;0;0;0;6;0;0;0;0;1;1;1;3;4;2;1;1;1;1;9;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;6;0;-4;"";"";3;1;25;5;15;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;6;1;1;1;3;9;2;2,99991;0,89607
3492;0;42286;1545;2;1;14;0;2;3;1;70;1;1;1;0;4;5;5;1;2;2;1;1;1;2;1;1;1;2;2;2;4;5;8;7;22;25;22;999;97;0;9997;0;9997;5;1;1;1;1;1;1;1;1;7;1;1;1;7;7;1;1;1;7;1;1;7;1;1;7;7;1;7;7;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;1;2;0;9997;3;6;2;5;1;2;0;0;5;5;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;14;0;-4;"";"";3;1;25;5;26;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9997;0;9997;0;9997;4;12;4;0,75873;1,41389
